dataset_name,file_id,algorithm_name,build_time_ms,query_time_ms,accuracy_percent,avg_dist_ratio,space_bytes
data_K100,25,BruteForce,0.153000,28.270583,100.0,1.0,404000
data_K100,25,KDTree_Exact,1.397084,29.454250,100.000000,1.000000,424000
data_K100,25,KDTree_Approx_BBF200,1.406958,6.071084,84.000000,1.021684,424000
data_K100,25,LSH_SumParity_l4_k5,0.855875,6.045667,56.000000,1.044567,431712
data_K100,26,BruteForce,0.160125,28.381167,100.0,1.0,404000
data_K100,26,KDTree_Exact,1.658250,29.330875,100.000000,1.000000,424000
data_K100,26,KDTree_Approx_BBF200,1.605667,5.984334,89.000000,1.023154,424000
data_K100,26,LSH_SumParity_l4_k5,0.786541,7.203583,67.000000,1.039358,430112
data_K100,27,BruteForce,0.153875,27.853375,100.0,1.0,404000
data_K100,27,KDTree_Exact,1.386792,28.986709,100.000000,1.000000,424000
data_K100,27,KDTree_Approx_BBF200,1.458042,5.824291,72.000000,1.030786,424000
data_K100,27,LSH_SumParity_l4_k5,0.792000,5.885584,48.000000,1.053924,430560
data_K100,28,BruteForce,0.157250,27.488250,100.0,1.0,404000
data_K100,28,KDTree_Exact,1.391709,29.352500,100.000000,1.000000,424000
data_K100,28,KDTree_Approx_BBF200,1.569750,5.777375,83.000000,1.021985,424000
data_K100,28,LSH_SumParity_l4_k5,0.797125,7.600375,63.000000,1.040367,430624
data_K100,29,BruteForce,0.154625,27.947416,100.0,1.0,404000
data_K100,29,KDTree_Exact,1.450625,29.564167,100.000000,1.000000,424000
data_K100,29,KDTree_Approx_BBF200,1.400292,5.986834,88.000000,1.018331,424000
data_K100,29,LSH_SumParity_l4_k5,0.846541,6.069291,59.000000,1.044917,431200
data_K100,30,BruteForce,0.151084,27.429333,100.0,1.0,404000
data_K100,30,KDTree_Exact,1.317750,29.517042,100.000000,1.000000,424000
data_K100,30,KDTree_Approx_BBF200,1.364208,5.776083,81.000000,1.023070,424000
data_K100,30,LSH_SumParity_l4_k5,0.776792,6.052958,51.000000,1.052232,431008
data_K100,31,BruteForce,0.153875,27.878792,100.0,1.0,404000
data_K100,31,KDTree_Exact,1.359125,29.027875,100.000000,1.000000,424000
data_K100,31,KDTree_Approx_BBF200,1.351958,5.821166,79.000000,1.026275,424000
data_K100,31,LSH_SumParity_l4_k5,0.777958,5.866250,51.000000,1.050487,431328
data_K100,32,BruteForce,0.156500,27.252042,100.0,1.0,404000
data_K100,32,KDTree_Exact,1.435458,28.956375,100.000000,1.000000,424000
data_K100,32,KDTree_Approx_BBF200,1.464875,6.006791,77.000000,1.025538,424000
data_K100,32,LSH_SumParity_l4_k5,0.796125,5.858917,55.000000,1.050813,430688
data_K100,33,BruteForce,0.153834,27.727042,100.0,1.0,404000
data_K100,33,KDTree_Exact,1.387333,28.899541,100.000000,1.000000,424000
data_K100,33,KDTree_Approx_BBF200,1.318375,5.910750,77.000000,1.026415,424000
data_K100,33,LSH_SumParity_l4_k5,0.776833,5.840209,49.000000,1.052707,430816
data_K100,34,BruteForce,0.156750,27.206000,100.0,1.0,404000
data_K100,34,KDTree_Exact,1.360375,28.721333,100.000000,1.000000,424000
data_K100,34,KDTree_Approx_BBF200,1.338083,5.850000,84.000000,1.020002,424000
data_K100,34,LSH_SumParity_l4_k5,0.782542,5.833125,52.000000,1.047693,430240
data_K100,35,BruteForce,0.157000,27.778167,100.0,1.0,404000
data_K100,35,KDTree_Exact,1.326958,29.031958,100.000000,1.000000,424000
data_K100,35,KDTree_Approx_BBF200,1.359084,5.976000,81.000000,1.023554,424000
data_K100,35,LSH_SumParity_l4_k5,0.794792,5.844666,55.000000,1.047026,431072
data_K100,36,BruteForce,0.157583,27.416333,100.0,1.0,404000
data_K100,36,KDTree_Exact,1.363959,28.952959,100.000000,1.000000,424000
data_K100,36,KDTree_Approx_BBF200,1.392042,5.915500,82.000000,1.021035,424000
data_K100,36,LSH_SumParity_l4_k5,0.834250,5.883500,59.000000,1.045073,430560
data_K100,37,BruteForce,0.179250,27.370417,100.0,1.0,404000
data_K100,37,KDTree_Exact,1.404917,29.009834,100.000000,1.000000,424000
data_K100,37,KDTree_Approx_BBF200,1.479042,5.792417,82.000000,1.022122,424000
data_K100,37,LSH_SumParity_l4_k5,0.805791,5.828458,50.000000,1.052801,430304
data_K100,38,BruteForce,0.158334,27.574500,100.0,1.0,404000
data_K100,38,KDTree_Exact,1.355791,28.555458,100.000000,1.000000,424000
data_K100,38,KDTree_Approx_BBF200,1.535500,5.949167,84.000000,1.024634,424000
data_K100,38,LSH_SumParity_l4_k5,0.784083,5.748167,51.000000,1.052588,430752
data_K100,39,BruteForce,0.155834,28.543833,100.0,1.0,404000
data_K100,39,KDTree_Exact,1.326875,28.883583,100.000000,1.000000,424000
data_K100,39,KDTree_Approx_BBF200,1.301042,5.725541,85.000000,1.022141,424000
data_K100,39,LSH_SumParity_l4_k5,0.801166,5.816584,64.000000,1.038127,430688
data_K100,40,BruteForce,0.156250,27.582916,100.0,1.0,404000
data_K100,40,KDTree_Exact,1.458542,28.114917,100.000000,1.000000,424000
data_K100,40,KDTree_Approx_BBF200,1.376334,5.833041,81.000000,1.027072,424000
data_K100,40,LSH_SumParity_l4_k5,0.783208,7.078583,60.000000,1.040678,431648
data_K100,41,BruteForce,0.158667,27.456666,100.0,1.0,404000
data_K100,41,KDTree_Exact,1.355625,28.551167,100.000000,1.000000,424000
data_K100,41,KDTree_Approx_BBF200,1.446625,5.782542,86.000000,1.022228,424000
data_K100,41,LSH_SumParity_l4_k5,0.800709,5.855792,54.000000,1.050458,430432
data_K100,42,BruteForce,0.159042,56.397000,100.0,1.0,404000
data_K100,42,KDTree_Exact,1.416167,28.719166,100.000000,1.000000,424000
data_K100,42,KDTree_Approx_BBF200,1.403334,5.992042,78.000000,1.024266,424000
data_K100,42,LSH_SumParity_l4_k5,0.791208,5.981167,50.000000,1.050351,430432
data_K100,43,BruteForce,0.151500,27.190875,100.0,1.0,404000
data_K100,43,KDTree_Exact,1.400958,28.509583,100.000000,1.000000,424000
